                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.3645,                  5.049,                 4.6046,                0.00024,                0.04082,                0.00013,                  1e-05,                 4.9339,                 4.5236,                 4.1579,                  6e-05,                  6e-05,                  6e-05
                      1,                 4.3653,                 4.6164,                 4.5979,                0.00047,                0.08163,                0.00026,                  3e-05,                  4.935,                 4.5225,                 4.1575,               9.38e-05,               9.38e-05,               9.38e-05
                      2,                 4.3839,                 4.8039,                 4.9406,                 0.0006,                0.10204,                0.00033,                  3e-05,                 4.9381,                 4.5191,                 4.1582,               7.48e-05,               7.48e-05,               7.48e-05
